Parametric Final Value,Bootstrap Final Value
12130.995513968073,13895.65969977208
12529.767886551868,10335.231443380402
11467.885437971867,13461.008832762613
7811.843754019131,11279.206108977778
8153.553710813864,10293.654237242105
11455.053361583028,11939.603811160901
11415.930753894745,9765.691091866302
15506.356206227738,10488.144978201646
13223.70937318638,11314.162788916368
11216.37106620501,8625.431046743699
11264.101841931639,12157.935796433949
13986.106914327454,10113.755380730527
11769.573029716961,9565.549617137058
11298.694411498154,10239.209065626525
11303.900717486578,12479.144685498955
11649.719232459502,13498.223750049665
12340.948073247426,9760.922121211304
14816.307660898228,15321.380608356108
12156.867282871537,11453.585807066558
11943.12481776293,10116.402070063239
12571.996080211029,9617.791184288215
8618.415022347286,12756.492991757208
11013.514931902968,10740.452532135454
16089.252135259336,10597.580729603062
14074.924216134152,12588.162535771044
10849.556292371504,9356.651291408243
16580.012731968098,9433.100080331502
8030.022856353486,12647.795006214776
10467.989772946312,12492.400289402118
12629.02154452786,11543.322064394199
13881.503151324729,11624.063886820011
9686.09986356884,10046.009997923053
12842.599249026289,8885.383894221146
13861.62081224895,7938.882635635474
11332.044347334871,12271.075490634512
9915.09275007857,11697.907273772684
14304.627006116783,12540.628838076218
9776.761861877641,11789.03979040321
12549.58752913874,9694.560438208877
14916.038785724806,9641.896100764767
9857.169813851482,10763.743374854877
13368.688820839012,12209.794902759037
8386.097816426864,11138.352332620503
10632.332000833732,9958.706488010064
11881.917565743328,11265.795267441596
9445.173277092283,9859.320312593265
11348.16049831611,12494.659875035442
13523.039127480974,11048.638633987046
9762.027298765106,12366.49388719854
10708.67071841534,10515.52938647593
8539.686492663359,13950.824327904473
12004.29672019165,12589.621353945886
12079.37035169945,10580.025120672475
11080.631175066419,14343.78494834249
12186.589838517328,14976.778830750587
9407.69535347291,9580.648096079201
12004.518720188731,10394.277094830197
11059.354341420978,13876.170508252282
9838.443133853041,10792.022946341618
13857.121143659228,14185.837151311438
10985.78398171054,7374.168972262983
10455.546056400002,12778.16906288082
8201.344671403904,11346.058779051089
10296.644857062978,12256.792464562966
15075.786322749742,9688.553854540653
12422.156665601578,11327.960401438735
12524.013785942116,11580.291718916562
11847.264096604451,11166.454293720531
11772.523889915828,12504.376633518945
11449.265707705334,12817.449125876048
10020.031103201865,11891.782366566194
10321.1106420749,12148.176572003502
11600.629647549948,11857.528746206905
9094.405227114266,14740.688797538623
11959.76389037402,13091.21661826703
14670.519428938309,15045.119337160053
10919.3293283492,11523.512975324185
12841.855866596297,12484.68710514937
15185.25565296869,10120.57996860803
10930.395070581299,10083.846535194181
9859.496808625225,11299.72093693049
10405.079251159865,9672.201223099644
9593.20757396112,12501.219243688702
10785.085734398288,10103.568836459139
16482.012407634542,10317.925770885548
12337.592377237412,12265.028473119675
11142.756640178297,12919.250672826009
17099.88324285098,11894.791133036684
12589.322172013035,14623.268671901142
11246.228753136698,11993.879849870395
9753.117392905051,13531.22300573827
11334.86712493766,11257.075914847885
10468.596865504029,11711.808543641955
8473.556020895969,12130.746796176907
9984.469797471904,13208.360961540506
12111.082411861014,8411.21540760883
12272.382706328151,9398.310210935806
14240.787377257777,11756.497239072507
9573.130092714013,10033.680033029143
9768.064271883577,11766.405956679946
9447.300882357207,14953.08276856283
12811.636925313467,10805.839024433873
10283.062295817783,14054.932076861964
13352.605465680344,8588.960318824182
13513.622259775213,11228.819422384466
9780.553411727567,8881.882098554868
10975.126844674343,13690.859384827814
10213.098635763366,10400.679104936236
12190.535144482748,11171.131780548334
12271.815035173973,11194.439355037575
13868.460297961523,10103.863743418668
10778.516603440448,14580.98262411152
11352.95250719941,13966.432569464863
10860.04646431163,12131.19369719026
15503.670380275842,9300.413431287836
13557.809665957717,11525.43430031919
10360.467349866414,13260.007932981658
9588.056457918388,11666.079202447021
10125.043297351198,9618.595331323779
11850.144004545882,9831.66277716058
13146.75875933791,17380.23107560125
9724.132173583203,11542.322568519101
14178.945683088357,10631.601474368246
13507.372929463167,10550.654071553878
9887.537240329308,11140.014302309772
13328.8861927894,9691.907133182729
14758.05521547213,12746.597692810354
11857.502727646202,11229.490053919586
12031.17428478154,10758.819915687978
11511.646818947283,11404.292739974848
9963.756508497638,12919.570549606788
9406.8883487662,11454.905930749122
10869.0487918055,10362.023840497039
