Date,Portfolio
2020-12-18,0.756305071592877
2020-12-21,0.7558658057179107
2020-12-22,0.7641823097418916
2020-12-23,0.7646603293738239
2020-12-24,0.7725434073381727
2020-12-28,0.7749598259704104
2020-12-29,0.7742100566684282
2020-12-30,0.7741852097340377
2020-12-31,0.7739365362495031
2021-01-04,0.7693348136821853
2021-01-05,0.773368448194556
2021-01-06,0.7688209613076651
2021-01-07,0.7729024211048565
2021-01-08,0.7740615347775797
2021-01-11,0.7739036349171032
2021-01-12,0.7754161258890767
2021-01-13,0.7777563562374521
2021-01-14,0.7782931638906385
2021-01-15,0.7782556883291776
2021-01-19,0.7764128612103243
2021-01-20,0.7800214950901672
2021-01-21,0.7796280888727611
2021-01-22,0.7794987006471147
2021-01-25,0.7804930034253499
2021-01-26,0.7786419156406245
2021-01-27,0.7774762749600777
2021-01-28,0.7767394522611426
2021-01-29,0.7777592528706705
2021-02-01,0.7789604373208838
2021-02-02,0.7762126310626767
2021-02-03,0.7756252332085234
2021-02-04,0.774174535023235
2021-02-05,0.7724629634807199
2021-02-08,0.7727974269232262
2021-02-09,0.7730619448380913
2021-02-10,0.7661322158926358
2021-02-11,0.7658781859663133
2021-02-12,0.7655458797076984
2021-02-16,0.7661571197066193
2021-02-17,0.7655730152382593
2021-02-18,0.7654099645730149
2021-02-19,0.7642099222169222
2021-02-22,0.7663660927145485
2021-02-23,0.7661106058065801
2021-02-24,0.7658172756387229
2021-02-25,0.776517405360337
2021-02-26,0.7712620300752524
2021-03-01,0.768121025592848
2021-03-02,0.7683000311598229
2021-03-03,0.7759103054774296
2021-03-04,0.7751209099979313
2021-03-05,0.7748319463088179
2021-03-08,0.7734667020348399
2021-03-09,0.7816730598913231
2021-03-10,0.7759607281769867
2021-03-11,0.774214426513476
2021-03-12,0.7765837938530912
2021-03-15,0.7775195064704616
2021-03-16,0.7758010897783771
2021-03-17,0.7751616569975132
2021-03-18,0.7807662605893377
2021-03-19,0.7792771878772775
2021-03-22,0.7823313220233912
2021-03-23,0.78427269708433
2021-03-24,0.7838728439280659
2021-03-25,0.779314127836758
2021-03-26,0.7774596692149476
2021-03-29,0.7765419731889195
2021-03-30,0.7755605294755382
2021-03-31,0.7776988219598259
2021-04-01,0.7836417203987036
2021-04-05,0.7821720011408254
2021-04-06,0.7770973955366959
2021-04-07,0.7814463086520019
2021-04-08,0.7831429221590606
2021-04-09,0.7856192845506579
2021-04-12,0.7856837463801135
2021-04-13,0.7841822483111063
2021-04-14,0.7804692893760895
2021-04-15,0.7871552504768874
2021-04-16,0.7877032720047448
2021-04-19,0.7881413057779525
2021-04-20,0.7859839186310795
2021-04-21,0.787518420454406
2021-04-22,0.7873883244493358
2021-04-23,0.7869932894007401
2021-04-26,0.7886568864099576
2021-04-27,0.7889877248318783
2021-04-28,0.7979557438048279
2021-04-29,0.7998847319254269
2021-04-30,0.8026674436000738
2021-05-03,0.8032238243447475
2021-05-04,0.7990646779501253
2021-05-05,0.7998571403422248
2021-05-06,0.8041931379147144
2021-05-07,0.7832343334016327
2021-05-10,0.7825419210859766
2021-05-11,0.779426339966421
2021-05-12,0.8081694465516459
2021-05-13,0.8050445578267977
2021-05-14,0.8075081086247033
2021-05-17,0.8155261538139407
2021-05-18,0.8167200024389983
2021-05-19,0.8196867517437647
2021-05-20,0.8254625782219368
2021-05-21,0.8303563992784605
2021-05-24,0.8317316625754677
2021-05-25,0.8330099373922131
2021-05-26,0.8355626701954959
2021-05-27,0.8455542351009214
2021-05-28,0.8462968854489876
2021-06-01,0.8459245223758015
2021-06-02,0.8473099415536649
2021-06-03,0.850984534119648
2021-06-04,0.8557494020549385
2021-06-07,0.8559344061973474
2021-06-08,0.8604117296748135
2021-06-09,0.8618937705268969
2021-06-10,0.8628094557488719
2021-06-11,0.8573662331699224
2021-06-14,0.8579790012656213
2021-06-15,0.8587794165158705
2021-06-16,0.8610810183123373
2021-06-17,0.8630104948814358
2021-06-18,0.8506020671835212
2021-06-21,0.8410579137311218
2021-06-22,0.8417313034339262
2021-06-23,0.84259832113017
2021-06-24,0.8432511617832441
2021-06-25,0.8423226911934159
2021-06-28,0.8424119472545698
2021-06-29,0.8429346362966961
2021-06-30,0.8434552914467371
2021-07-01,0.8426628993329127
2021-07-02,0.8445078296542673
2021-07-06,0.8497275677465347
2021-07-07,0.8510436697986539
2021-07-08,0.8545460650006215
2021-07-09,0.8508144638322322
2021-07-12,0.8519723783255361
2021-07-13,0.8503208187175906
2021-07-14,0.8504511877825132
2021-07-15,0.8489632288195496
2021-07-16,0.8480814435596541
2021-07-19,0.8328854737249946
2021-07-20,0.8241130600028727
2021-07-21,0.8166197662773643
2021-07-22,0.8170221078064719
2021-07-23,0.8150841609021677
2021-07-26,0.8138044352815409
2021-07-27,0.8133008690583645
2021-07-28,0.8186103732788015
2021-07-29,0.8205657842077906
2021-07-30,0.8228770817201267
2021-08-02,0.8178689708657686
2021-08-03,0.822313777675074
2021-08-04,0.8195829932218676
2021-08-05,0.8233105399993359
2021-08-06,0.8232167137576624
2021-08-09,0.8227028608825117
2021-08-10,0.8228593497185877
2021-08-11,0.8231497923933904
2021-08-12,0.8231420569327106
2021-08-13,0.8251705694276155
2021-08-16,0.8239596036500286
2021-08-17,0.8237543790909793
2021-08-18,0.8194612098583202
2021-08-19,0.8186088182114452
2021-08-20,0.8133772855195284
2021-08-23,0.8153422046862497
2021-08-24,0.8198325292067465
2021-08-25,0.7991784222042388
2021-08-26,0.8050955831063763
2021-08-27,0.8206223872966427
2021-08-30,0.8199387482893846
2021-08-31,0.8049035236188311
2021-09-01,0.7994919046250436
2021-09-02,0.8067759805528103
2021-09-03,0.7962423066417684
2021-09-07,0.7723527242561453
2021-09-08,0.774400408129572
2021-09-09,0.7688036413331227
2021-09-10,0.7721920133994619
2021-09-13,0.7700985102286388
2021-09-14,0.7659536881571016
2021-09-15,0.7632848599907351
2021-09-16,0.7447259062647126
